iter	Passed	Remaining
0	1	856
1	4	1185
2	6	1101
3	8	1054
4	10	1045
5	12	1001
6	14	987
7	15	970
8	17	955
9	19	939
10	21	936
11	22	923
12	24	920
13	26	919
14	28	912
15	29	903
16	31	897
17	33	890
18	35	889
19	37	890
20	38	882
21	40	872
22	42	873
23	44	873
24	45	873
25	47	870
26	49	868
27	51	869
28	53	867
29	55	864
30	57	872
31	60	878
32	62	878
33	63	873
34	65	869
35	67	869
36	69	867
37	71	864
38	72	860
39	74	856
40	76	853
41	78	854
42	80	853
43	82	851
44	83	849
45	85	846
46	87	841
47	89	838
48	90	835
49	92	831
50	93	827
51	95	824
52	97	822
53	99	818
54	100	814
55	102	812
56	104	810
57	106	808
58	107	806
59	109	802
60	111	801
61	113	799
62	114	797
63	116	793
64	118	793
65	120	792
66	122	791
67	124	791
68	126	792
69	128	790
70	130	789
71	132	788
72	134	786
73	136	782
74	137	781
75	139	779
76	141	779
77	143	777
78	145	774
79	147	771
80	148	768
81	150	766
82	151	762
83	153	760
84	155	758
85	157	757
86	159	756
87	161	756
88	163	755
89	165	755
90	167	754
91	170	755
92	172	756
93	175	756
94	177	755
95	179	755
96	181	753
97	183	751
98	185	749
99	186	746
100	188	745
101	190	744
102	192	741
103	194	740
104	196	738
105	198	736
106	199	733
107	201	732
108	203	730
109	205	729
110	207	728
111	209	726
112	211	725
113	213	723
114	215	721
115	217	720
116	219	718
117	221	716
118	223	714
119	225	712
120	226	710
121	228	707
122	230	705
123	231	703
124	233	700
125	235	698
126	236	695
127	238	692
128	239	690
129	241	687
130	243	685
131	244	682
132	246	680
133	248	679
134	250	677
135	252	675
136	254	673
137	255	670
138	257	669
139	259	666
140	261	665
141	263	663
142	265	662
143	267	661
144	269	659
145	271	658
146	273	656
147	275	654
148	277	653
149	279	652
150	281	650
151	283	648
152	285	646
153	287	645
154	289	643
155	291	642
156	293	640
157	295	639
158	297	637
159	299	636
160	301	634
161	302	632
162	304	630
163	306	628
164	309	627
165	310	625
166	312	623
167	314	621
168	316	619
169	318	617
170	319	615
171	321	613
172	323	612
173	326	610
174	327	609
175	329	607
176	331	605
177	333	602
178	335	601
179	337	599
180	339	598
181	341	596
182	343	594
183	344	592
184	346	590
185	348	588
186	350	586
187	352	584
188	353	582
189	355	580
190	357	578
191	359	575
192	360	573
193	362	571
194	364	569
195	366	568
196	368	566
197	370	564
198	371	562
199	373	560
200	375	558
201	376	555
202	378	553
203	380	551
204	381	549
205	383	547
206	385	545
207	387	544
208	389	542
209	391	540
210	392	538
211	394	536
212	396	534
213	398	533
214	400	531
215	402	529
216	405	529
217	407	527
218	409	525
219	411	523
220	413	521
221	415	519
222	416	517
223	418	515
224	420	513
225	422	512
226	424	509
227	426	508
228	427	506
229	429	504
230	431	502
231	433	500
232	434	498
233	436	496
234	438	494
235	440	492
236	442	491
237	444	489
238	446	487
239	448	485
240	450	483
241	452	482
242	454	480
243	456	478
244	458	476
245	460	475
246	462	473
247	463	471
248	465	469
249	467	467
250	469	465
251	470	463
252	473	461
253	474	459
254	476	457
255	478	455
256	480	453
257	481	451
258	483	449
259	485	447
260	486	445
261	488	443
262	490	441
263	492	439
264	493	437
265	495	435
266	497	433
267	498	431
268	500	429
269	502	428
270	504	426
271	506	424
272	507	422
273	509	420
274	511	418
275	513	416
276	514	414
277	516	412
278	518	410
279	519	408
280	521	406
281	523	404
282	525	402
283	527	400
284	529	399
285	530	397
286	532	395
287	534	393
288	536	391
289	538	389
290	540	387
291	541	385
292	543	384
293	546	382
294	548	380
295	549	378
296	551	377
297	553	375
298	555	373
299	557	371
300	558	369
301	560	367
302	562	365
303	564	363
304	566	362
305	568	360
306	570	358
307	572	356
308	573	354
309	575	352
310	577	350
311	579	349
312	581	347
313	582	345
314	585	343
315	587	342
316	589	340
317	591	338
318	594	337
319	596	335
320	598	333
321	600	331
322	602	329
323	603	327
324	605	325
325	606	323
326	608	321
327	610	319
328	611	317
329	613	316
330	615	314
331	616	312
332	618	310
333	620	308
334	622	306
335	624	304
336	625	302
337	627	300
338	629	298
339	630	296
340	632	294
341	634	293
342	636	291
343	638	289
344	639	287
345	641	285
346	643	283
347	644	281
348	646	279
349	648	277
350	649	275
351	651	274
352	653	272
353	655	270
354	657	268
355	659	266
356	660	264
357	662	262
358	664	260
359	665	258
360	667	257
361	669	255
362	670	253
363	672	251
364	674	249
365	676	247
366	677	245
367	679	243
368	681	241
369	683	240
370	685	238
371	687	236
372	688	234
373	690	232
374	692	230
375	693	228
376	695	226
377	696	224
378	698	223
379	700	221
380	702	219
381	704	217
382	705	215
383	707	213
384	708	211
385	710	209
386	712	207
387	713	206
388	715	204
389	717	202
390	718	200
391	720	198
392	722	196
393	724	194
394	726	193
395	728	191
396	730	189
397	732	187
398	734	185
399	736	184
400	737	182
401	739	180
402	741	178
403	743	176
404	744	174
405	746	172
406	748	171
407	750	169
408	752	167
409	754	165
410	756	163
411	758	161
412	760	160
413	762	158
414	764	156
415	766	154
416	767	152
417	769	150
418	771	149
419	773	147
420	774	145
421	776	143
422	778	141
423	780	139
424	782	138
425	784	136
426	786	134
427	788	132
428	790	130
429	792	128
430	794	127
431	796	125
432	797	123
433	799	121
434	801	119
435	803	117
436	806	116
437	808	114
438	810	112
439	812	110
440	814	108
441	816	107
442	818	105
443	820	103
444	822	101
445	824	99
446	826	97
447	827	96
448	829	94
449	832	92
450	833	90
451	836	88
452	838	86
453	840	85
454	842	83
455	844	81
456	846	79
457	848	77
458	850	75
459	851	74
460	853	72
461	855	70
462	857	68
463	859	66
464	861	64
465	864	63
466	866	61
467	868	59
468	870	57
469	873	55
470	875	53
471	877	52
472	879	50
473	881	48
474	883	46
475	885	44
476	887	42
477	889	40
478	891	39
479	893	37
480	895	35
481	897	33
482	900	31
483	901	29
484	903	27
485	905	26
486	907	24
487	909	22
488	911	20
489	913	18
490	915	16
491	918	14
492	920	13
493	921	11
494	924	9
495	926	7
496	928	5
497	930	3
498	932	1
499	934	0
